MaSV,TenSV,GPA,ChuyenCan,DiemGiuaKy,SoMonTruot,SoTinChi,LichSuCanhBao,NoHocPhi,NguyCo
SV20001,Đặng Đức Linh,0.0,85,0.0,0,0,0,0,Cao
SV20002,Hoàng Anh Khánh,2.8,33,7.0,0,18,0,0,Thap
SV20003,Trần Minh Khánh,0.0,0,0.0,6,18,0,0,Cao
SV20004,Lê Minh Linh,2.69,44,6.7,0,18,0,0,Thap
SV20005,Hoàng Đức Linh,2.47,50,6.2,1,18,0,0,Thap
SV20006,Bùi Minh Hương,2.37,67,5.9,0,15,1,1,Thap
SV20007,Hoàng Thị Linh,2.66,43,6.6,0,21,0,0,Thap
SV20008,Phạm Ngọc Hương,0.0,33,0.0,5,15,0,0,Cao
SV20009,Trần Thảo Giang,2.78,44,6.9,0,18,0,0,Thap
SV20010,Nguyễn Đức Trang,2.28,50,5.7,1,18,1,1,Cao
SV20011,Vũ Anh Nam,2.47,33,6.2,0,18,0,0,Thap
SV20012,Nguyễn Minh Trang,2.64,33,6.6,1,24,0,0,Thap
SV20013,Bùi Đức Cường,0.0,33,0.0,6,18,0,0,Cao
SV20014,Phạm Quang Dũng,2.11,39,5.3,0,18,0,0,Thap
SV20015,Bùi Văn Cường,2.65,47,6.6,1,15,0,0,Thap
SV20016,Hoàng Minh Khánh,2.64,33,6.6,1,18,0,0,Cao
SV20017,Hoàng Văn Khánh,2.4,56,6.0,5,18,0,0,Trung Binh
SV20018,Trần Đức Nam,2.66,38,6.7,0,21,0,0,Thap
SV20019,Phạm Ngọc Bình,2.5,53,6.2,1,15,0,0,Thap
SV20020,Trần Văn Trang,2.33,33,5.8,1,21,0,0,Trung Binh
SV20021,Hoàng Thị Dũng,0.0,85,0.0,0,0,0,0,Thap
SV20022,Phạm Quang Khánh,2.29,67,5.7,0,21,0,0,Trung Binh
SV20023,Phạm Anh Linh,2.57,50,6.4,1,24,0,0,Thap
SV20024,Đặng Minh An,2.68,44,6.7,0,18,0,0,Thap
SV20025,Phạm Thị Linh,2.66,38,6.6,1,21,0,0,Thap
SV20026,Phạm Thị Hương,2.32,44,5.8,1,18,1,1,Trung Binh
SV20027,Vũ Thị Dũng,2.28,50,5.7,0,18,0,0,Thap
SV20028,Vũ Anh Bình,2.53,60,6.3,0,15,0,0,Trung Binh
SV20029,Trần Đức Bình,2.4,40,6.0,0,15,0,0,Thap
SV20030,Trần Ngọc Dũng,2.59,43,6.5,1,21,0,0,Trung Binh
SV20031,Vũ Quang Linh,2.37,83,5.9,1,18,0,0,Trung Binh
SV20032,Vũ Quang Nam,2.57,39,6.4,0,18,0,0,Thap
SV20033,Vũ Thảo Giang,2.27,60,5.7,2,15,0,0,Trung Binh
SV20034,Bùi Anh Bình,2.53,33,6.3,0,18,0,0,Thap
SV20035,Đặng Anh Linh,2.48,40,6.2,0,15,0,0,Thap
SV20036,Trần Văn Nam,0.0,33,0.0,7,21,1,1,Cao
SV20037,Hoàng Quang An,0.0,0,0.0,5,15,0,0,Cao
SV20038,Nguyễn Quang Nam,2.0,67,5.0,4,15,0,0,Cao
SV20039,Bùi Văn Linh,2.2,53,5.5,0,15,0,0,Thap
SV20040,Bùi Quang Cường,2.33,72,5.8,3,18,1,1,Cao
SV20041,Nguyễn Thảo Cường,2.55,33,6.4,2,18,1,1,Cao
SV20042,Lê Văn Giang,2.96,33,7.4,0,15,0,0,Thap
SV20043,Trần Quang Trang,2.79,43,7.0,2,21,0,0,Thap
SV20044,Nguyễn Đức Khánh,2.6,39,6.5,2,18,0,0,Cao
SV20045,Nguyễn Thảo Bình,0.0,0,0.0,5,15,0,0,Cao
SV20046,Nguyễn Thảo Khánh,2.3,60,5.8,3,15,0,0,Trung Binh
SV20047,Đặng Ngọc Linh,2.33,33,5.8,0,18,0,0,Thap
SV20048,Hoàng Minh Linh,2.7,38,6.8,1,21,0,0,Thap
SV20049,Vũ Minh Cường,2.3,33,5.8,0,18,0,0,Thap
SV20050,Nguyễn Minh Giang,2.47,39,6.2,1,18,0,0,Thap
SV20051,Đặng Ngọc Cường,2.73,33,6.8,0,18,0,0,Thap
SV20052,Nguyễn Anh Trang,2.37,42,5.9,2,24,0,0,Trung Binh
SV20053,Đặng Quang Khánh,2.8,61,7.0,2,18,0,0,Trung Binh
SV20054,Lê Văn Trang,2.94,47,7.4,0,15,0,0,Thap
SV20055,Trần Đức Cường,2.12,80,5.3,0,15,0,0,Cao
SV20056,Đặng Thảo Khánh,2.61,43,6.5,0,21,0,0,Thap
SV20057,Nguyễn Đức Dũng,0.0,56,0.0,6,18,0,0,Cao
SV20058,Vũ Anh Khánh,2.6,50,6.5,1,18,0,0,Cao
SV20059,Đặng Anh Dũng,2.99,33,7.5,0,24,0,0,Thap
SV20060,Hoàng Thảo Khánh,0.0,85,0.0,0,0,0,0,Trung Binh
SV20061,Lê Minh Hương,2.63,38,6.6,1,21,0,0,Thap
SV20062,Phạm Thị Trang,2.4,39,6.0,0,18,0,0,Thap
SV20063,Hoàng Ngọc Nam,0.0,85,0.0,0,0,0,0,Trung Binh
SV20064,Hoàng Ngọc Dũng,2.28,33,5.7,1,18,0,0,Trung Binh
SV20065,Vũ Ngọc Trang,0.0,33,0.0,6,18,0,0,Trung Binh
